session_id,mode,started_at,system,os_release,python,device,whisper_model,llm_model,tts_model,acquire_s,diarize_s,asr_s,llm_s,tts_s,transcript_chars,reply_chars,n_speakers,last_speaker,n_turns,speakers_list
2025-08-12_10-43-54,one-shot,2025-08-12_10-43-54,Windows,10,3.9.0,cuda,small,gpt-3.5-turbo,OYTbf65OHHFELVut7v2H/eleven_flash_v2,7.72,31.772,16.812,1.128,3.333,,,,,,
2025-08-12_10-46-40,one-shot,2025-08-12_10-46-40,Windows,10,3.9.0,cuda,small,gpt-3.5-turbo,OYTbf65OHHFELVut7v2H/eleven_flash_v2,7.316,8.168,4.475,1.306,4.308,,,,,,
2025-08-12_10-58-54,one-shot,2025-08-12_10-58-54,Windows,10,3.9.0,cuda,small,gpt-3.5-turbo,OYTbf65OHHFELVut7v2H/eleven_flash_v2,15.299,72.906,4.68,1.847,17.638,,,,,,
2025-08-12_11-04-53,one-shot,2025-08-12_11-04-53,Windows,10,3.9.0,cuda,small,gpt-3.5-turbo,OYTbf65OHHFELVut7v2H/eleven_flash_v2,15.295,88.337,4.788,1.48,19.486,,,,,,
2025-08-12_11-15-29,one-shot,2025-08-12_11-15-29,Windows,10,3.9.0,cuda,small,gpt-3.5-turbo,OYTbf65OHHFELVut7v2H/eleven_flash_v2,15.337,56.813,4.722,1.685,20.575,132,311,2,SPEAKER_01,,
